,us,cns,conf
34,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(1,3,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 6 ,0.13765182186234817
35,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 ,0.2426470588235294
36,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 7 ,0.2426470588235294
37,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(1,3,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 6 7 ,0.13765182186234817
38,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 6 8 ,0.2426470588235294
39,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 6 13 ,0.007352941176470588
40,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 6 8 ,0.25
41,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 13 ,0.007352941176470588
42,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 ,0.25
43,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 7 ,0.25
44,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 13 7 ,0.007352941176470588
45,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(1,3,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 7 ,0.13765182186234817
46,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 ,0.2426470588235294
47,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 13 ,0.007352941176470588
48,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,1,endprocess)(1,5,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 ,0.25
49,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(1,3,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 14 ,0.008097165991902834
50,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sss)(1,4,1,evaluatetheapplication,1,notifythecustomerbyemail)",3 8 ,1.0
51,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)",2 4 ,0.3262411347517731
52,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",2 5 ,0.08208955223880597
53,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",2 8 ,0.11612903225806452
54,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",2 8 6 ,0.11612903225806452
55,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",2 8 6 7 ,0.11612903225806452
56,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",2 8 7 ,0.11612903225806452
57,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",2 5 6 ,0.06902985074626866
58,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",2 5 8 ,0.12162162162162163
59,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",2 5 8 7 ,0.12162162162162163
60,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",2 5 6 7 ,0.06902985074626866
61,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)",2 5 6 8 ,0.12162162162162163
62,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)",2 5 6 13 ,0.0033783783783783786
63,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,1,endprocess)",2 5 6 8 ,0.125
64,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",2 5 13 ,0.0033783783783783786
65,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,1,endprocess)",2 5 8 ,0.125
66,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,1,endprocess)",2 5 8 7 ,0.125
67,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",2 5 13 7 ,0.0033783783783783786
68,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",2 5 7 ,0.06902985074626866
69,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)",2 5 8 ,0.12162162162162163
70,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)",2 5 13 ,0.0033783783783783786
71,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,1,endprocess)",2 5 8 ,0.125
72,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",2 13 ,0.0032258064516129032
73,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,endprocess)",2 8 ,0.125
74,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,endprocess)",2 8 6 ,0.125
75,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,endprocess)",2 8 6 7 ,0.125
76,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,endprocess)",2 8 7 ,0.125
77,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",2 13 6 ,0.0032258064516129032
78,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",2 13 6 7 ,0.0032258064516129032
79,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",2 13 7 ,0.0032258064516129032
80,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",2 6 ,0.02258064516129032
81,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,sendabankcardinaletter)",2 7 ,0.5
82,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,1,sendabankcardinaletter)(4,5,1,sendabankcardinaletter,1,sendapinnumberinaletter)",2 8 ,0.5
83,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",2 6 ,0.06902985074626866
